id,year,category,nominee,staff,company,producer,win
891,2018, Creative Achievement In Interactive Media Within A Scripted Program,Silicon Valley,"HBO,  Brown Hill Productions, ",HBO,"HBO,  Brown Hill Productions",False
892,2018, Creative Achievement In Interactive Media Within A Scripted Program,13 Reasons Why,"Ali Feinstein, Global Marketing Manager Javier Ricaud, Interactive Producer Mary Katherine Malone, Series Consultant Kevin Cornish, Director Moth + Flame, ",Netflix,"Netflix, Moth + Flame",False
893,2018, Creative Achievement In Interactive Media Within A Scripted Program,Westworld,"HBO,  Kilter Films,  Bad Robot, ",HBO,"HBO, Kilter Films, Bad Robot",True
894,2018, Creative Achievement In Interactive Media Within An Unscripted Program,CONAN Without Borders,"Conan O'Brien, Executive Producer/Host Jeff Ross, Executive Producer Mike Sweeney, Producer Ruthie Wyatt, Producer Aaron Bleyaert, Producer",TBS,Team Coco Digital/Conaco,True
895,2018, Creative Achievement In Interactive Media Within An Unscripted Program,The Oscars,"Meghan de Boer, Executive Producer Richard A. Preuss, Co-Executive Producer Shelby Sundling Lathrop, Supervising Producer Augie Max Vargas, Producer Kimberly Weisberg, Producer",ABC,"ABC Digital, The Academy of Motion Picture Arts and Sciences",False
896,2018, Creative Achievement In Interactive Media Within An Unscripted Program,RuPaul's Drag Race,"Sarah DeFilippis, Executive Producer Brittany Travis, Executive Producer Ray Hunt, Executive Producer Jackie Rappaport, Executive Producer Courtney Powell, Executive Producer",VH1,A VH1 production,False
897,2018, Creative Achievement In Interactive Media Within An Unscripted Program,Watch What Happens Live! With Andy Cohen,"Andy Cohen, Executive Producer Deirdre Connolly, Executive Producer Daniel Albritton, Executive Producer Colin Moock, Executive Producer Derek Clayton, Executive Producer",Bravo,"Embassy Row, Megaphone TV",False
898,2018, Lighting Design/Lighting Direction For A Variety Series,America's Got Talent,"Noah Mitz, Lighting Designer Ryan Tanker, Lighting Director Michael Berger, Lighting Director Charles Dabezies, Lighting Director Matthew Benson, Lighting Director",NBC,"FremantleMedia North America, Inc. and Syco Television",False
899,2018, Lighting Design/Lighting Direction For A Variety Series,Dancing With The Stars,"Simon Miles, Lighting Designer Matthew Cotter, Lighting Director Suzanne Sotelo, Lighting Director Matt McAdam, Lighting Director",ABC,BBC Studios,False
900,2018, Lighting Design/Lighting Direction For A Variety Series,Saturday Night Live,"Phil Hymes, Lighting Designer Geoff Amoral, Lighting Director Rick McGuinness, Lighting Director",NBC,SNL Studios in association with Universal Television and Broadway Video,True
901,2018, Lighting Design/Lighting Direction For A Variety Series,So You Think You Can Dance,"Robert Barnhart, Lighting Designer Matt Firestone, Lighting Director Patrick Boozer, Lighting Director Pete Radice, Lighting Director Madigan Stehly, Lighting Director",FOX,"Dick Clark Productions, Inc. and 19 Entertainment",False
902,2018, Lighting Design/Lighting Direction For A Variety Series,The Voice,"Oscar Dominguez, Lighting Designer Daniel Boland, Lighting Director Craig Housenick, Lighting Director Ronald Wirsgalla, Lighting Director Johnny Bradley, Lighting Director",NBC,"MGM Television, Talpa Media USA, Inc., Warner Horizon Unscripted & Alternative Television",False
