id,year,category,nominee,staff,company,producer,win
840,2018, Single-Camera Picture Editing For A Limited Series Or Movie,The Assassination Of Gianni Versace: American Crime Story,"Shelly Westerman, Editor",FX Networks,Fox 21 Television Studios and FX Productions,False
841,2018, Single-Camera Picture Editing For A Limited Series Or Movie,The Assassination Of Gianni Versace: American Crime Story,"Chi-Yoon Chung, Editor",FX Networks,Fox 21 Television Studios and FX Productions,False
842,2018, Single-Camera Picture Editing For A Limited Series Or Movie,Twin Peaks,"Duwayne Dunham, Editor Brian Berdan, ACE, Additional Editor  Jonathan P. Shaw, ACE, Additional Editor Justin Krohn, Additional Editor Jason W.A. Tucker, ACE, Additional Editor David Lynch, Additional Editor",Showtime,"Rancho Rosa Partnership, Inc.",False
843,2018, Single-Camera Picture Editing For A Limited Series Or Movie,USS Callister (Black Mirror),"Selina MacArthur, Editor",Netflix,House of Tomorrow,True
844,2018, Picture Editing For Variety Programming,Carpool Karaoke Primetime Special 2018,"Brad Conlin, Editor Tom Jarvis, Editor",CBS,CBS Television Studios / Fulwell 73,False
845,2018, Picture Editing For Variety Programming,Dave Chappelle: Equanimity,"Jeff U'ren, Editor",Netflix,Pilot Boy Productions / Lathan TV,False
846,2018, Picture Editing For Variety Programming,Drunk History,"John Cason, Editor",Comedy Central,Gary Sanchez Productions,False
847,2018, Picture Editing For Variety Programming,Full Frontal With Samantha Bee Presents: The Great American* Puerto Rico (*It's Complicated),"Jesse Coane, Editor Charles Divak, Editor Daphne Gomez-Mena, Editor Andrew Mendelson, Editor Tennille Uithof, Editor",TBS,Jax Media,False
848,2018, Picture Editing For Variety Programming,Last Week Tonight With John Oliver,"Anthony Miale, Editor",HBO,HBO Entertainment in association with Sixteen String Jack Productions and Avalon Television,False
849,2018, Picture Editing For Variety Programming,Last Week Tonight With John Oliver,"Ryan Barger, Editor",HBO,HBO Entertainment in association with Sixteen String Jack Productions and Avalon Television,True
850,2018, Picture Editing For A Nonfiction Program,Anthony Bourdain: Parts Unknown,"Hunter Gross, ACE, Editor",CNN,"CNN Original Series and Zero Point Zero Production, Inc.",True
851,2018, Picture Editing For A Nonfiction Program,The Defiant Ones,"Lasse Järvi, Editor Doug Pray, Editor",HBO,HBO Entertainment and Silverback 5150 Pictures in association with Alcon Television Group,False
852,2018, Picture Editing For A Nonfiction Program,Jane,"Joe Beshenkovsky, ACE, Editor Brett Morgen, Editor Will Znidaric, Editor",National Geographic,National Geographic Studios in association with Public Road Productions,False
853,2018, Picture Editing For A Nonfiction Program,Wild Wild Country,"Neil Meiklejohn, Editor",Netflix,A Duplass Brothers Production in association with Stardust Frames Productions and Submarine Entertainment,False
854,2018, Picture Editing For A Nonfiction Program,The Zen Diaries Of Garry Shandling,"Joe Beshenkovsky, ACE, Editor",HBO,HBO Documentary Films in association with Apatow Productions,False
855,2018, Picture Editing For A Structured Or Competition Reality Program,The Amazing Race,"Brooks Larson, Editor Jay Gammill, Editor Josh Lowry, Editor Michael Bolanowski, Editor Tori Rodman, Editor Jason Pedroza, Editor Eric Beetner, Editor Tricia Rodrigo, Editor",CBS,"WorldRace Productions, Inc.",False
856,2018, Picture Editing For A Structured Or Competition Reality Program,American Ninja Warrior,"Nick Gagnon, Editor David Greene, Editor Michael Kalbron, Editor Corey Ziemniak, Editor Curtis Pierce, Editor Kyle Barr, Editor Mary Dechambres, Editor Matthew Probst, Editor Scott Simmons, Editor Martin Singer, Editor Katherine Griffin, Editor Flavyn Mendoza, Editor",NBC,A. Smith & Co. Productions,False
857,2018, Picture Editing For A Structured Or Competition Reality Program,RuPaul's Drag Race,"Jamie Martin, Lead Editor Drew Forni, Editor John Lim, Editor Michael Roha, Editor",VH1,World of Wonder Productions,False
858,2018, Picture Editing For A Structured Or Competition Reality Program,The Voice,"John M. Larson, Supervising Editor Robert Michael Malachowski, Jr, ACE, Supervising Editor Hudson H. Smith III, Supervising Editor Matt Antell, Editor Roger Bartlett, Editor Sean Basaman, Editor Kevin Benson, Editor Matthew Blair, Editor Melissa Silva Borden, Editor William Fabian Castro, Editor Grady Cooper, Editor A.J. Dickerson, ACE, Editor Glen Ebesu, Editor Noel A. Guerra, Editor John Homesley, Editor Omega Hsu, ACE, Editor Ryan P. James, Editor Charles A. Kramer, Editor James J. Munoz, Editor Rich Remis, Editor David I. Sowell, Editor Robby Thompson, Editor Eric Wise, Editor",NBC,"MGM Television, Talpa Media USA, Inc., Warner Horizon Unscripted & Alternative Television",False
859,2018, Picture Editing For An Unstructured Reality Program,Born This Way,"Jarrod Burt, Editor Jacob Lane, Editor Mac Caudill, Editor Madison Pathe, Editor John Barley, Editor Daysha Broadway, Editor Stephanie Lyra, Editor Svein Mikkelsen, Editor Ryan Rambach, Editor Peggy Tachdjian, Editor Dan Zimmerman, Editor",A&E,Bunim/Murray Productions,False
860,2018, Picture Editing For An Unstructured Reality Program,Deadliest Catch,"Rob Butler, ACE, Supervising Editor Alexandra Moore, Editor Ben Bulatao, ACE, Editor Josh Earl, ACE, Editor Greg Cornejo, Editor",Discovery Channel,"Original Productions, LLC",False
861,2018, Picture Editing For An Unstructured Reality Program,Life Below Zero,"Eric Michael Schrader, Editor Tony Diaz, Additional Editor Matt Mercer, Additional Editor Jennifer Nelson, ACE, Additional Editor",National Geographic,BBC Studios,False
862,2018, Picture Editing For An Unstructured Reality Program,RuPaul's Drag Race: Untucked,"Lousine Shamamian, Editor",VH1,World of Wonder Productions,False
863,2018, Picture Editing For An Unstructured Reality Program,United Shades Of America With W. Kamau Bell,"Bryan Eber, Supervising Editor",CNN,"CNN Original Series, All3Media America, Main Event Media",True
864,2018, Hairstyling For A Single-Camera Series,The Crown,"Ivana Primorac, Department Head Hairstylist",Netflix,Left Bank Pictures in association with Sony Pictures Television,False
865,2018, Hairstyling For A Single-Camera Series,Game Of Thrones,"Kevin Alexander, Department Head Hairstylist Candice Banks, Key Hairstylist Nicola Mount, Hairstylist Rosalia Culora, Hairstylist",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",False
866,2018, Hairstyling For A Single-Camera Series,GLOW,"Theraesa Rivers, Department Head Hairstylist Valerie Jackson, Key Hairstylist Leslie Bennett, Hairstylist Jules Holdren, Hairstylist",Netflix,"Glitter Pictures, LLC",False
867,2018, Hairstyling For A Single-Camera Series,The Marvelous Mrs. Maisel,"Francesca Paris, Department Head Hairstylist Christine Cantrell, Key Hairstylist Cassi Hurd, Additional Hairstylist Reo Anderson, Additional Hairstylist",Prime Video,Amazon Studios,False
868,2018, Hairstyling For A Single-Camera Series,Westworld,"Joy Zapata, Department Head Hairstylist Lori McCoy Bell, Assistant Department Head Hairstylist Dawn Victoria Dudley, Additional Hairstylist Karen Zanki, Additional Hairstylist Connie Kallos, Additional Hairstylist Norma Lee, Additional Hairstylist",HBO,"HBO Entertainment in association with Kilter Films, Bad Robot, Warner Bros. Television",True
869,2018, Hairstyling For A Multi-Camera Series Or Special,Dancing With The Stars,"Kimi Messina, Department Head Hairstylist Gail Ryan, Key Hairstylist Derrick Spruill, Additional Hairstylist Rene Vaca, Additional Hairstylist Patricia Pineda, Additional Hairstylist Pixie Schwartz, Additional Hairstylist",ABC,BBC Studios,False
870,2018, Hairstyling For A Multi-Camera Series Or Special,Jesus Christ Superstar Live In Concert,"Charles LaPointe, Department Head Hairstylist Kevin Maybee, Co-Department Head Hairstylist Natalie Errthum, Key Hairstylist Ashley Callahan, Hairstylist",NBC,"Universal Television, The Really Useful Group, Marc Platt Productions, Zadan/Meron Productions",False
871,2018, Hairstyling For A Multi-Camera Series Or Special,RuPaul's Drag Race,"Hector Pocasangre, Hairstylist Gabriel Villarreal, Personal Hairstylist",VH1,World of Wonder Productions,True
872,2018, Hairstyling For A Multi-Camera Series Or Special,The Voice,"Jerilynn Stephens, Department Head Hairstylist Meagan Herrera-Schaaf, Key Hairstylist Renee Ferruggia, Hairstylist Derrick Spruill, Hairstylist Alyn Topper, Hairstylist Darbie Wieczorek, Hairstylist",NBC,"MGM Television, Talpa Media USA, Inc., Warner Horizon Unscripted & Alternative Television",False
873,2018, Hairstyling For A Limited Series Or Movie,American Horror Story: Cult,"Michelle Ceglia, Department Head Hairstylist Samantha Wade, Assistant Department Head Hairstylist Brittany Madrigal, Hairstylist Julie Rael, Hairstylist Valerie Jackson, Hairstylist Jo Ann Onorio, Hairstylist",FX Networks,Twentieth Century Fox Television,False
874,2018, Hairstyling For A Limited Series Or Movie,The Assassination Of Gianni Versace: American Crime Story,"Chris Clark, Department Head Hairstylist Natalie Driscoll, Key Hairstylist Shay Sanford-Fong, Additional Hairstylist Helena Cepeda, Additional Hairstylist Massimo Gattabrusi, Personal Hairstylist",FX Networks,Fox 21 Television Studios and FX Productions,True
875,2018, Hairstyling For A Limited Series Or Movie,Genius: Picasso,"Kate Starr, Key Hairstylist Alex Rouse, Hairstylist Judit Halasz, Hairstylist Janosne Kajtar, Hairstylist",National Geographic,Imagine Television and Fox 21 Television Studios,False
876,2018, Hairstyling For A Limited Series Or Movie,Godless,"Geordie Sheffer, Department Head Hairstylist Megan Daum, Key Hairstylist Carmen Jones, Hairstylist",Netflix,A Netflix Original Production,False
877,2018, Hairstyling For A Limited Series Or Movie,The Last Tycoon,"Theraesa Rivers, Department Head Hairstylist Valerie Jackson, Key Hairstylist Mishell Chandler, Hairstylist Amanda Mofield, Hairstylist Deborah Pierce, Hairstylist Loretta Nero, Hairstylist",Prime Video,"TriStar Television, Inc. and Amazon Studios",False
878,2018, Hairstyling For A Limited Series Or Movie,Twin Peaks,"Clare M. Corsick, Department Head Hairstylist Bryn Leetch, Assistant Department Head Hairstylist",Showtime,"Rancho Rosa Partnership, Inc.",False
879,2018, Interactive Program,The Daily Show With Trevor Noah,"Trevor Noah, Executive Producer/Host The Daily Show Digital Team,  Comedy Central Digital Team, ",Comedy Central,"Central Productions, LLC",False
880,2018, Interactive Program,Full Frontal With Samantha Bee,"Samantha Bee, Executive Producer/Host Kim Burdges, Producer Carol Hartsell, Managing Digital Producer Ana Bretón, Digital Producer Caroline Schaper, Digital Producer",TBS,Jax Media,False
881,2018, Interactive Program,Last Week Tonight With John Oliver,"Partially Important Productions, ",HBO,HBO Entertainment in association with Sixteen String Jack Productions and Avalon Television,True
882,2018, Interactive Program,The Late Late Show With James Corden,"James Corden, Host Ben Winston, Executive Producer Rob Crabbe, Executive Producer Adam Abramson, Director of Digital Tyler White, Social Media Producer",CBS,CBS Television Studios / Fulwell 73,False
883,2018, Interactive Program,Saturday Night Live,"NBC, ",NBC,"Universal Television, SNL Studios, Broadway Video",False
884,2018, Original Interactive Program,Back To The Moon,"Hélène Leroux, Director Fx Goby, Director Google Doodles,  Google Spotlight Stories,  Nexus Studios, ",Google Spotlight Stories App,Google Spotlight Stories,False
885,2018, Original Interactive Program,Blade Runner 2049: Memory Lab,"Magnopus,  Alcon Interactive,  Oculus, ",Oculus,"Magnopus, Alcon Interactive, LLC, Oculus",False
886,2018, Original Interactive Program,Coco VR,"PIXAR,  Disney,  Magnopus, ",Oculus,"Magnopus, Disney•Pixar, Oculus",False
887,2018, Original Interactive Program,NASA JPL:  Cassini's Grand Finale,"NASA Jet Propulsion Laboratory, ",YouTube,NASA Jet Propulsion Laboratory,True
888,2018, Original Interactive Program,Spider-Man Homecoming VR Experience,"Jake Black, Head of VR Jake Zim, Senior Vice President, Virtual Reality, Sony Pictures Entertainment Tom Ham, Head of Business Development, Gaming and VR Create Advertising,  Sony Pictures Entertainment, ",PlayStation VR App,"Create Advertising, Sony Pictures Entertainment",False
889,2018, Creative Achievement In Interactive Media Within A Scripted Program,Mr. Robot,"USA Network,  Ralph Interactive, Inc,  BBQ Films,  Civic Entertainment Group,  HudsonGray, ",USA,"USA Network, Ralph Interactive, Inc., Civic Entertainment Group, BBQ Films, HudsonGray",False
890,2018, Creative Achievement In Interactive Media Within A Scripted Program,Rick And Morty,"Rick and Morty Creative Team,  Owlchemy Labs,  Other Ocean,  Adult Swim Games, ",Adult Swim,"Adult Swim Games, Owlchemy Labs, Other Ocean Interactive",False
