duration,converted_budget,dir_oscar_nomination,writer_oscar_nomination,cast_globe_nomination,BAFTA_act_nom,BAFTA_dir_nom,BAFTA_writer_nom,dir_emmy_nom,writer_emmy_nom,act_emmy_nom,actors_films_before,director_films_before,writers_films_before,genre,language,production_company,month_published,revenue_cluster
104.0,7111282.2,0,0,0,0,0,0,0,0,0,0,0,0,"Fantasy, Horror",Spanish,Universal,3,0
89.0,6209852.1,0,0,0,0,0,0,0,0,0,3,0,1,"Drama, Romance",English,MGM,6,0
93.0,5829248.2,2,1,0,0,0,0,0,0,0,5,2,0,"Crime, Drama, Romance",English,MGM,6,2
119.0,3024798.9,0,0,0,0,0,0,0,0,0,1,0,0,Drama,Russian,Other,6,0
78.0,26041315.1,0,0,0,0,0,0,0,0,0,1,0,0,"Comedy, Drama",English,Twentieth Century Fox,1,2
70.0,10289234.6,1,0,0,0,0,0,0,0,0,1,0,1,"Crime, Drama",English,Sony,5,0
98.0,10717002.7,0,2,0,0,0,0,0,0,0,3,1,0,"Horror, Sci-Fi",English,Paramount,8,1
72.0,11947788.6,2,3,0,0,0,0,0,0,0,6,3,0,Drama,English,MGM,6,0
82.0,8244394.3,0,0,0,0,0,0,0,0,0,0,0,0,"Drama, Romance",German,Other,1,0
64.0,6936573.4,0,0,0,0,0,0,0,0,0,2,3,1,"Drama, Horror",English,MGM,2,3
79.0,15632620.6,0,1,0,0,0,0,0,0,0,1,0,2,Comedy,English,MGM,2,2
68.0,13868367.7,0,0,0,0,0,0,0,0,0,2,0,0,"Drama, Romance",English,Sony,3,0
79.0,12461431.9,0,0,0,0,0,0,0,0,0,0,0,0,Drama,English,Other,12,0
68.0,7816310.3,0,0,0,0,0,0,0,0,0,1,0,0,"Comedy, War",English,Other,9,0
68.0,14024694.0,0,1,0,0,0,0,0,0,0,0,1,0,"Comedy, Drama",English,Warner,7,0
75.0,9111584.6,0,0,0,0,0,0,0,0,0,3,0,1,Drama,English,Other,10,0
73.0,14605334.1,0,0,0,0,0,0,0,0,0,2,0,1,"Crime, Drama, Romance",English,Other,5,0
83.0,4404862.1,0,0,0,0,0,0,0,0,0,6,0,0,"Adventure, Drama, Romance",English,MGM,5,0
72.0,27801982.1,0,0,0,0,0,0,0,0,0,0,2,0,Drama,English,Other,4,2
71.0,9916828.6,0,1,0,0,0,0,0,0,0,3,2,0,"Drama, Romance",English,RKO,10,0
69.0,21742941.2,0,0,0,0,0,0,0,0,0,3,0,0,Drama,English,MGM,10,2
61.0,10246604.4,0,1,0,0,0,0,0,0,0,0,0,0,"Comedy, Musical",English,RKO,5,0
89.0,16559454.9,0,0,0,0,0,0,0,0,0,4,0,2,"Comedy, Musical, Romance",English,Warner,10,2
89.0,10340826.0,0,0,0,0,0,0,0,0,0,0,0,0,"Comedy, Drama",English,Other,12,0
113.0,10199493.6,0,0,0,0,0,0,0,0,0,3,1,0,"Comedy, Musical, Romance",English,Other,11,2
66.0,5299967.8,0,0,0,0,0,0,0,0,0,2,0,0,"Drama, Romance",English,RKO,12,2
100.0,15782126.3,0,0,0,0,0,0,0,0,0,0,0,0,"Adventure, Horror, Sci-Fi",English,RKO,10,3
73.0,15829237.1,0,0,0,0,0,0,0,0,0,0,0,1,"Action, Adventure",English,Paramount,3,2
73.0,9987494.8,0,0,0,0,0,0,0,0,0,0,0,0,"Horror, Mystery",Spanish,Other,7,0
