LOCATION;Country;Subject.1;Measure.1;FREQUENCY;Frequency.1;TIME;Time.1;Reference Period Code;Value
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2002-Q3;Q3-2002;2015_100;7632156
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2002-Q4;Q4-2002;2015_100;7792527
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2003-Q1;Q1-2003;2015_100;7853033
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2003-Q2;Q2-2003;2015_100;7998159
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2003-Q3;Q3-2003;2015_100;7892774
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2003-Q4;Q4-2003;2015_100;8041671
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2004-Q1;Q1-2004;2015_100;8066406
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2004-Q2;Q2-2004;2015_100;8229213
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2004-Q3;Q3-2004;2015_100;8115906
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2004-Q4;Q4-2004;2015_100;829553
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2005-Q1;Q1-2005;2015_100;8335621
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2005-Q2;Q2-2005;2015_100;8501805
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2005-Q3;Q3-2005;2015_100;8430032
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2005-Q4;Q4-2005;2015_100;8599086
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2006-Q1;Q1-2006;2015_100;860743
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2006-Q2;Q2-2006;2015_100;8774995
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2006-Q3;Q3-2006;2015_100;8719526
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2006-Q4;Q4-2006;2015_100;8846949
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2007-Q1;Q1-2007;2015_100;8837951
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2007-Q2;Q2-2007;2015_100;9002705
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2007-Q3;Q3-2007;2015_100;8951261
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2007-Q4;Q4-2007;2015_100;9168755
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2008-Q1;Q1-2008;2015_100;9214046
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2008-Q2;Q2-2008;2015_100;9430495
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2008-Q3;Q3-2008;2015_100;9374638
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2008-Q4;Q4-2008;2015_100;9434866
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2009-Q1;Q1-2009;2015_100;935667
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2009-Q2;Q2-2009;2015_100;9492738
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2009-Q3;Q3-2009;2015_100;9438914
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2009-Q4;Q4-2009;2015_100;9618944
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2010-Q1;Q1-2010;2015_100;9640237
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2010-Q2;Q2-2010;2015_100;9982884
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2010-Q3;Q3-2010;2015_100;9961246
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2010-Q4;Q4-2010;2015_100;1010946
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2011-Q1;Q1-2011;2015_100;1009284
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2011-Q2;Q2-2011;2015_100;1033408
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2011-Q3;Q3-2011;2015_100;1019811
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2011-Q4;Q4-2011;2015_100;1039055
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2012-Q1;Q1-2012;2015_100;1029758
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2012-Q2;Q2-2012;2015_100;1049242
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2012-Q3;Q3-2012;2015_100;103331
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2012-Q4;Q4-2012;2015_100;1050834
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2013-Q1;Q1-2013;2015_100;1029977
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2013-Q2;Q2-2013;2015_100;1044253
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2013-Q3;Q3-2013;2015_100;1022677
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2013-Q4;Q4-2013;2015_100;1027883
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2014-Q1;Q1-2014;2015_100;1016344
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2014-Q2;Q2-2014;2015_100;1028938
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2014-Q3;Q3-2014;2015_100;1016459
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2014-Q4;Q4-2014;2015_100;1008922
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2015-Q1;Q1-2015;2015_100;9921585
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2015-Q2;Q2-2015;2015_100;1006946
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2015-Q3;Q3-2015;2015_100;9981238
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2015-Q4;Q4-2015;2015_100;1002772
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2016-Q1;Q1-2016;2015_100;9830192
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2016-Q2;Q2-2016;2015_100;9974159
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2016-Q3;Q3-2016;2015_100;9882722
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2016-Q4;Q4-2016;2015_100;9982664
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2017-Q1;Q1-2017;2015_100;9968154
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2017-Q2;Q2-2017;2015_100;1010217
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2017-Q3;Q3-2017;2015_100;9978164
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2017-Q4;Q4-2017;2015_100;1006605
